"시점",0 총지수,전세,월세
"시점",전국,전국,전국
"2019. 04",104.87,107.95,99.84
"2019. 05",105.05,107.92,99.80
"2019. 06",104.88,107.84,99.76
"2019. 07",104.56,107.81,99.75
"2019. 08",104.81,107.78,99.72
"2019. 09",105.20,107.78,99.72
"2019. 10",105.46,107.78,99.74
"2019. 11",104.87,107.79,99.74
"2019. 12",105.12,107.80,99.77
"2020. 01",105.79,107.83,99.80
"2020. 02",105.80,107.88,99.82
"2020. 03",105.54,107.91,99.84
"2020. 04",104.95,107.97,99.84
"2020. 05",104.71,108.03,99.84
"2020. 06",104.87,108.09,99.86
"2020. 07",104.86,108.18,99.88
"2020. 08",105.50,108.26,99.94
"2020. 09",106.20,108.34,99.99
"2020. 10",105.61,108.48,100.05
"2020. 11",105.50,108.63,100.11
"2020. 12",105.67,108.76,100.17
"2021. 01",106.47,108.90,100.23
"2021. 02",107.00,109.15,100.34
"2021. 03",107.16,109.47,100.44
"2021. 04",107.39,109.68,100.51
"2021. 05",107.46,109.94,100.59
"2021. 06",107.39,110.09,100.66
"2021. 07",107.61,110.31,100.72
"2021. 08",108.29,110.59,100.81
